,0,1,2,3,4,5,6,7,8,9,10,11,12
16,Vitamin C,"1.16, 1.81)**","16.40,-11.35)","-10.16,-5.99***","-10.16,-5.99***","6.67, 2.91)**","6.67, 2.91)**","6.67, 2.91)**","-3.05,0.17**","-0.07,2.81**","-0.07,2.81**","(0.58, 4.25) **","(2.08, 5.49) **"
17,Vitamin E,"-1.55,0.89**","-7.62,-5.56***","-6.51,-4.58**","-6.51,-4.58**","-6.09,3.73**","-6.09,3.73**","-6.09,3.73**","-4.32,-1.65**","-2.07,0.69**","-2.07,0.69**","(1.18,4.43**","(4.69, 8.18) **"
18,Vitamin B1,"-0.48,0.81*","-8.87,-6.87***","-6.05,-4.60**","-6.05,-4.60**","3.06,-1.46**","3.06,-1.46**","3.06,-1.46**","-1.08,0.63**","(0.03, 1.69) **","(0.03, 1.69) **","(1.65, 3.46) **","(0.99, 2.83) **"
19,Vitamin B2,"-0.65,0.51*","3.70,-1.91)**","4.87,-3.39)**","4.87,-3.39)**","-2.35,-0.87**","-2.35,-0.87**","-2.35,-0.87**","1.25,0.13)**","-0.17,1.01**","-0.17,1.01**","-0.1,1.53**","0.51, 2.31) **"
20,Vitamin B3,"0.60, 0.67*",2.13) **,1.92) **,1.92) **,(,"2.58,",-1.36) **,"(0.88, 0.20) *","(0.60, 0.93) *","(0.60, 0.93) *","0.4,1.57**","(0.63, 3.51) **"
21,Vitamin B9,"(1.24, 0.53)**","11.09, 8.39)***",6.41***,6.41***,"(4.97,","(4.97,",3.01)**,"2.57,-0.45**","0.20, 1.78)**","0.20, 1.78)**","(0.44, 2.47) **","(1.99, 4.48) **"
22,Wheat,"0.54,1.50**","(-99.85,-91.18","-25.27,-20.14","-25.27,-20.14","-6.03,-3.12)**","-6.03,-3.12)**","-6.03,-3.12)**","(0.08, 2.27) **","0.74,3.55*","0.74,3.55*","(1.27, 3.80) **","(0.61, 3.24)**"
23,Pork,"(1.99, 0.07)**",,,,"(102.83, 96.17)","(102.83, 96.17)","(102.83, 96.17)","-15.3,-10.15","(0.43, 2.53)**","(0.43, 2.53)**","(2.59, 5.19) **","(7.54, 10.49) ***"
24,Vegetables,"-0.65,0.72*","-17.45,-13.16","11.50,8.40***","11.50,8.40***","(3.92, 2.21) **","(3.92, 2.21) **","(3.92, 2.21) **","-1.45,0.29**","(0.12, 1.67) **","(0.12, 1.67) **","(1.32, 3.36) **","(1.87, 4.22) **"
25,Milk,"(2.92, 2.39) **",,,,,,,"(107.33,92.67)","-6.01,-0.11***","-6.01,-0.11***","0.75, 5.19)***","1.46,-0.49)**"
26,Beans,"2.33, 1.94)**",,"114.93, 85.07)","114.93, 85.07)","30.10,23.40)","30.10,23.40)","30.10,23.40)","9.45,5.95***","4.97, -0.54**","4.97, -0.54**","(0.96, 6.46) ***","(8.39, 13.93) ***"
