,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
10,46,qI00'0 + 9I0'0,0000,pa0O0'O F 8I0'O,,,,ppvIO0'0 + 9Z0'O,,11,,,60,,,,,9,9,,96,,,ev800'0 F8ZI'0,spa9000 F 0010,qry&O'O F 9S'I,rv0000+000'0,,pvS8'0 F 8'OI,qv8Z'O F t'OI,,,,,22,,27
11,,qav0O0'0 F 8I0'O,1100,e1000,e1000,pgI00'0Z00,,,,,,pg000,sgv&0'0 + 80'0,qev00'0,,,qevSZ'0F ES'8,,pavZ0'0 F,,ev100,"qevbO'O F 46""O","qevbO'O F 46""O",S000010,"sqaZOO'O F OII""O",qavIO'0 F 0S'I,qrv000'0F 8O0'0,,,,,spv9O'OF LZ'Z,,900,800,,+
12,4h,qav0O0'0 F 8I0'O,1100,pg1000000,,pgI00'0Z00,,,,,,900,sgv&0'0 + 80'0,110,,,qevSZ'0F ES'8,7,,99,,160,3qv&O0'O F 8I'O,,"sqaZOO'O F OII""O",qavIO'0 F 0S'I,ev00000000,,,,,spv9O'OF LZ'Z,,222,,124,124
13,,qg000'0+O00,10000100,rav000'0 +8,0028,pgZ000g,,0022,,qg800,e100,p000,g000,qey000,,qvII0+,qgZI'0F,900,PvSI'0FC,00,00,e100,sqa900'0 F 601'0,sqa900'0 F 601'0,qag&O0'O F 9IIO,"zqv&O'0F0S""I","zqv&O'0F0S""I",qg000'0+000'0,,qay8I0,qay8I0,qay8I0,,ev00t,,qrvIZ'0Fg,qrvIZ'0Fg
14,Bh,qg000'0+O00,10000100,pa000'0 F 9I0'0,0028,,,0022,,,,,200,IIC,,,,35,09,,96,,spvS00'OFO8I'O,,qag&O0'O F 9IIO,"qevZ0'0 F 9S""I",e0000000,qg000'0+000'0,,qvSI'O F E'OI,,,,244,,,
15,,sqvIO0'O F 9IO'O,,pvIO0'0 F,1000,vI000,,,,00,00,qv000,000,v000,,qv8I'0,,,,+,000,ey200,qrvIOO'O F OZI'O,qrvIOO'O F OZI'O,"zqvZ0'O F IS""I","zqvZ0'OF IS""I","zqvZ0'OF IS""I",,,qv8I'OF,qv8I'OF,e900,e900,ev900,,qevbZ0,qevbZ0
16,4o,sqvIO0'O F 9IO'O,,1100,0022,0022,,002.2,,,,12,112,12,98,98,,,,,,,jvIO0'0F0ZI'O,qrvIOO'O F OZI'O,evIOO'O FOZI'0,qvZO'O F IS I,ev000'0 F 000'0,,,,,,,250,,125,125
17,,,,,,,00000,,,,,,,,,,,,,,00000,00000,00000,00000,00,00,,,,,,,,,,,C
18,,,2,1E8,1E8,1E8,2112112112112112111112112,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
19,,,,,,,,,,,,,,,CCCC,,,,,,,,,,,,,,,,,,,,,,
