,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
21,Tridecane,H4,0.00 h,0.00 h,126.57,c,125.21,c,37.63,gh,138.03,bc,94.59,e,102.81,de,138.89,bc,118.36,cd,52.88,fg,150.26,ab,170.85,a,,61.96 f,61.96 f
22,Tetradecane,H5,0.00f,0.00f,8.53,bcd,5.97,cde,2.58,ef,11.64,ab,8.34,bed,9.46,abc,6.83,cde,5.75,cde,3.35,ef,13.37,,0.00,f,,4.03 def,4.03 def
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Hexadecane,H6,5.33a,5.33a,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00,b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00b,0.00b,,0.00 b,0.00 b
25,TERPENES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"1,8 cineol",T1,1.92 a,1.92 a,0.00 b,0.00 b,0.00b,0.00b,0.00 b,0.00 b,0.00 b,0.00 b,0.00,b,0.00 b,0.00 b,0.00,b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00b,0.00b,,0.00 b,0.00 b
27,p-Cymene,T2,0.00 b,0.00 b,0.00 b,0.00 b,0.00,b,0.00 b,0.00 b,0.00 b,0.00 b,0.00,b,0.00 b,0.00 b,0.00,,0.00,b,8.75a,8.75a,0.00 b,0.00 b,0.00 b,0.00 b,,0.00 b,0.00 b
28,Estragole,T3,86.17a,86.17a,0.00 b,0.00 b,0.00b,0.00b,0.00 b,0.00 b,0.00 b,0.00 b,0.00,b,0.00 b,0.00 b,0.00,b,0.00,b,0.00 b,0.00 b,0.00 b,0.00 b,0.00b,0.00b,,0.00 b,0.00 b
29,(E.E)--Farnesene,T4,23.03a,4505.69 a,48.19 b,48.19 b,33.44,b,9.21,b,66.43 b,66.43 b,24.16,b,16.13b,16.13b,20.14,,20.41,b,12.88,b,35.93,,30.46 b,30.46 b,,10.26 b,10.26 b
30,cis--Farnesene,T5,23.03a,23.03a,0.00 b,0.00 b,0.00,b,0.00,b,0.00 b,0.00 b,0.00,b,0.00 b,0.00 b,0.00,b,0.00,b,0.00 b,0.00 b,0.00,b,0.00,b,,0.00 b,0.00 b
31,-damascenone,T6,0.00,0.00,0.00c,0.00c,0.00,,0.00,c,0.00,0.00,0.00,c,4.84a,4.84a,0.00,,0.00,,1.47,be,0.00,c,0.00c,0.00c,,2.12,2.12
32,Neryl Acetone,T7,3.56 abcd,3.56 abcd,1.97,cd,1.56,d,1.20,d,5.21,ab,2.60,bcd,5.65,a,1.71,d,1.85,cd,2.09,cd,4.81,abc,3.46,abcd,,3.56,abed
33,-Ionone,T8,0.00,0.00,0.00c,0.00c,0.00,,0.00,,0.00,c,0.00,c,1.43,a,0.00,,0.00,,0.42,b,0.00,c,0.00,,,1.02,a
34,Methyl eugenol,T9,0.00 c,0.00 c,1.69 b,1.69 b,1.17,bc,0.85,bc,0.00c,0.00c,1.18,bc,0.00,,1.30,b,0.84,bc,0.87,bc,3.06a,3.06a,1.40 b,1.40 b,,0.89bc,0.89bc
35,Nerolidol,T10,0.00c,0.00c,0.00c,0.00c,0.00,,1.68,b,0.00c,0.00c,2.47,ab,3.90a,3.90a,0.00,,2.89,ab,1.58,b,0.00,c,0.00,c,,2.92,ab
36,ACIDS,,,,,,,,,,12.86a,,,,,,,,,,,,,,,,,,
37,2-Methylbutanoic acid,Ac1,0.00c,0.00c,6.80,b,4.23,b,0.00,c,12.86a,12.86a,4.01,b,0.00,,2.97,bc,3.30,bc,0.00c,0.00c,4.56,b,4.54,b,,0.00,
38,Hexanoic acid,Ac2,0.00,e,11.30,ab,4.44 de,4.44 de,2.46,ef,14.85,a,6.56,cd,6.27,cde,3.73,def,4.13,de,3.03,def,8.69,bc,6.09,cde,,3.53,def
39,Heptanoic acid,Ac3,0.00,c,4.05,ab,0.83,c,0.35,c,5.11,a,2.86,b,1.10,c,0.00,c,0.87,c,0.91,c,0.00,c,0.00,c,,0.55,c
40,9-Decenoic acid,Ac4,8.03,a,0.00,b,0.00,b,0.00,b,0.00,b,0.00,b,0.00,b,0.00,b,2.70,b,0.00,b,0.00,,0.00,b,,0.00 b,0.00 b
41,Octanoic acid,Ac5,6.06,ab,5.00,abc,2.47,cd,1.63,,6.45,,4.10,abed,3.45,abed,2.45,cd,2.70,cd,2.45,cd,4.10,abcd,2.99,bed,,2.39,cd
42,Nonanoic acid,Ac6,11.54a,a,7.84,efg,4.19,h,3.65,h,11.42,bed,8.02,def,13.36,b,3.31,h,12.50,bc,5.03,fgh,9.15,cde,3.43,h,,4.46 gh,4.46 gh
43,Decanoic acid,Ac7,11.54a,11.54a,0.00,0.00,0.00,C,0.80c,0.80c,0.00,0.00,0.00,,5.91 b,5.91 b,0.00,C,1.53,C,1.66c,1.66c,0.00,c,0.97,c,,1.24c,1.24c
