,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
10,BcP,,2.28,1.02,0.53,1.36,0.55,0.36,1.43,0.92,0.83,0.85,,0.63,0.81,11.7,1.42,3.58,0.88,0.64,0.73,0.69,1.66,2.59,1.35,0.59,1.15
11,Chry,,0.37,0.34,1.14,0.47,0.32,0.30,1.04,0.91,0.38,0.53,,0.78,0.54,2.39,0.80,1.51,0.68,0.89,0.41,0.32,1.89,3.62,0.77,0.50,1.50
12,Chry,,0.42,0.25,1.16,0.48,0.22,0.21,1.04,0.62,0.29,0.46,,0.75,0.29,0.91,0.77,1.06,0.64,0.88,0.57,0.85,1.04,3.97,0.43,0.43,1.55
13,BeP,,1.64,2.29,1.85,1.47,4.68,2.68,1.45,8.63,1.04,0.70,,1.49,1.54,7.02,1.81,1.52,5.97,4.14,2.84,2.26,5.60,4.17,3.74,1.15,9.36
14,BbF,,1.31,1.61,3.93,1.82,3.99,1.78,0.57,3.02,1.13,2.04,,0.76,1.86,3.33,0.77,0.34,5.17,3.79,2.32,1.95,4.89,3.28,2.57,0.98,5.45
15,BkF,,1.07,1.61,3.93,2.73,3.27,2.17,1.34,2.02,2.11,2.50,,0.63,1.53,7.77,0.63,0.42,4.23,2.52,1.90,1.30,4.0,1.77,2.57,0.80,4.46
16,3-Mcl,,6.37,10.6,5.42,16.2,2.31,4.61,179,13.6,3.46,8.44,,8.62,4.45,46.3,4.13,12.2,17.9,6.62,20.3,28.0,112,9.73,9.00,14.1,108
17,BaP,,12.4,1.09,0.50,4.65,0.93,12.1,2.43,4.07,0.15,0.22,,0.92,0.90,0.70,0.45,0.16,0.03,0.57,1.08,19.6,0.19,0.47,0.10,0.13,47.7
18,DahA,,12.4,13.1,12.9,18.8,10.3,12.1,45.1,28.4,3.93,2.52,,2.31,2.41,11.6,6.24,41.5,10.1,9.63,5.87,17.4,39.3,114,30.8,1.81,47.7
19,BghiP,,1.75,2.70,4.96,5.37,2.72,3.13,15.0,18.5,1.65,1.27,,3.46,0.38,4.56,1.98,10.3,10.1,2.17,2.05,17.4,19.9,5.42,13.1,6.12,13.4
20,"D[a,h]P",,1.12,9.51,3.64,1.94,0.51,0.84,9.63,8.06,0.89,0.51,,0.90,0.51,4.46,2.05,7.61,10.8,4.66,5.43,2.38,7.45,5.42,3.84,0.56,13.4
21,"D[a,i]P",,7.94,3.42,6.71,6.70,0.64,0.59,4.79,4.10,0.60,0.62,,0.55,0.16,8.50,12.5,12.6,10.8,8.62,5.43,7.79,7.78,40.6,6.21,0.53,8.17
22,"D[a,l]P",,9.00,2.90,7.10,26.4,0.87,3.69,6.62,8.69,0.81,1.65,,1.01,0.87,2.36,10.6,32.6,6.93,3.60,2.20,4.93,9.01,10.1,10.9,11.8,18.8
23,IndP,,58.9,2.90,35.8,26.4,7.40,6.66,27.9,13.1,2.91,1.65,,2.84,1.26,2.44,26.0,32.6,26.8,24.7,5.72,12.5,17.7,10.1,13.6,11.8,18.8
24,22 PAHs,,58.9,81.4,94.9,103,43.3,40.8,684,119,2107,4040,,4090,2480,137,72.6,142,121,76.9,59.2,101,237,280,105,42.6,240
25,3 Rings,,0.12,1.2,0.12,0.12,0.03,0.03,57.5,0.21,0.12,1.17,,0.03,0.03,3.33,0.18,0.17,0.19,0.12,0.12,0.12,0.23,0.03,0.22,0.12,0.31
26,3 Rings,,0.85,1.2,1.3,1.33,0.81,0.37,57.5,1.72,2088,1.17,,4070,0.96,13.4,1.37,7.13,1.32,1.32,2.69,0.37,1.68,22.1,1.84,0.60,2.19
27,4Rings,,4.41,3.22,6.79,3.27,5.09,1.91,305,4.66,2088,4010,,4070,2460,20.7,3.94,9.82,4.84,4.42,3.11,3.00,6.83,17.6,5.88,2.81,6.40
28,6Rings,,23.6,30.6,28.5,45.7,25.4,24.0,230,59.8,11.8,16.4,,14.7,12.7,76.8,14.0,56.2,57.0,27.3,34.3,53.2,166,133,49.4,18.9,175
29,6Rings,,30.1,46.4,58.2,53.0,12.1,14.9,63.9,52.5,6.85,4.86,,8.76,3.18,22.3,53.1,68.9,57.7,43.8,19.1,44.9,61.9,107,47.6,20.4,56.5
30,PAH2,,1.22,1.34,1.66,5.13,1.15,0.86,3.47,4.69,0.44,0.68,,1.67,1.19,1.61,1.21,1.22,0.64,1.44,1.65,0.85,1.23,4.44,7.00,0.56,13.0
31,PAH4,,3.97,5.25,10.7,10.2,8.73,5.11,6.41,10.7,4.06,5.74,,3.84,5.11,15.1,3.41,3.49,10.7,8.65,6.28,4.42,12.0,13.1,7.00,2.84,13.0
32,PAH8,,28.4,23.9,64.3,60.7,29.1,27.0,94.4,70.7,12.5,11.2,,12.5,9.16,33.8,37.6,88.0,71.3,45.2,19.9,53.8,88.9,153,64.4,22.5,88.9
